"ARTIST_ID","FECHA","POPULARITY","NUM_FOLLOWERS"
"2o5jDhtHVPhrJdv3cEQ99Z",24/04/20,83,4973623
"2QMCcKIPHnjQaPPgoEst88",24/04/20,68,85471
"6cEuCEZu7PAE9ZSzLLc2oQ",24/04/20,84,1997440
"7CajNmpbOovFoOoasH2HaY",24/04/20,87,19925724
"6F3vLfyutkUhpM50G84eMt",24/04/20,69,17716
"3XINWZaloea97SIRiyTJxX",24/04/20,66,228906
"5ChF3i92IPZHduM7jN3dpg",24/04/20,72,1892564
"4ofCBoyEiGSePFAG500xev",24/04/20,78,55685
"1Cs0zKBU1kc0i8ypK3B9ai",24/04/20,88,21229631
"7nDsS0l5ZAzMedVRKPP8F1",24/04/20,74,942441
"4WFtYn5RyU8VGPpPyW9Pxw",24/04/20,64,38216
"64KEffDW9EtZ1y2vBYgq8T",24/04/20,87,23198961
"56oDRnqbIiwx4mymNEv7dS",24/04/20,82,2542524
"4iHNK0tOyZPYnBU7nGAgpQ",24/04/20,79,5545111
"1CoZyIx7UvdxT5c8UkMzHd",24/04/20,77,1405630
"5hW4L92KnC6dX9t7tYM4Ve",24/04/20,70,752184
"1DFr97A9HnbV3SKTJFu62M",24/04/20,69,2175744
"07XSN3sPlIlB2L2XNcTwJw",24/04/20,74,4544153
"0cc6vw3VN8YlIcvr1v7tBL",24/04/20,74,2509566
"2d0hyoQ5ynDBnkvAbJKORj",24/04/20,75,3440112
"5M52tdBnJaKSvOpJGz8mfZ",24/04/20,75,4399132
"4CYeVo5iZbtYGBN4Isc3n6",24/04/20,65,1292153
"3qm84nBOXUEQ2vnTfUTTFC",24/04/20,82,16414815
"711MCceyCBcFnzjGY4Q7Un",24/04/20,84,14904603
"568ZhdwyaiCyOGJRtNYhWf",24/04/20,72,3089850
"2ye2Wgw4gimLv2eAKyk1NB",24/04/20,84,13773425
"36QJpDe2go2KgaRleHCDTp",24/04/20,81,8894603
"6mdiAmATAx73kdxrNrnlao",24/04/20,76,5272351
"1dLWg6m8RRhizsdqJbhyj3",24/04/20,64,901425
"6H1RjVyNruCmrBEWRbD0VZ",24/04/20,72,2589450
"6ZLTlhejhndI4Rh53vYhrY",24/04/20,78,2829272
"6olE6TJLqED3rqDCT0FyPh",24/04/20,82,10624314
"7b85ve82Sh36a3UAx74wut",24/04/20,65,1309175
"5ZYOlPpI9FZu2uIPkTB0UA",24/04/20,66,18937
"4rTv3Ejc7hKMtmoBOK1B4T",24/04/20,82,842508
"4ETSs924pXMzjIeD6E9b4u",24/04/20,84,360298
"5zctI4wO9XSKS8XwcnqEHk",24/04/20,87,1920994
"6bmlMHgSheBauioMgKv2tn",24/04/20,86,244237
"5j21TGkrNEAJe3gG9VlS34",24/04/20,76,675420
"1VmIfQToGVtxmv2w3QtyVY",24/04/20,67,42060
"1aS5tqEs9ci5P9KD9tZWa6",24/04/20,80,1271162
"7oWrEQO1d3klp0Qrfh7a5h",24/04/20,64,30631
"6Rmg5JiRphFMlhkwGNl9Fu",24/04/20,65,11857
"1Xylc3o4UrD53lo9CvFvVg",24/04/20,83,7065204
"4hXT6A14n901v8DU5Of337",24/04/20,68,95833
"0vWslArrZa7drINEUobJZl",24/04/20,43,21097
"0mKLP9jGn5eAZDlaq7UYQY",24/04/20,40,4031
"1Oa2BGrI6B0GvKabXDU9Se",24/04/20,26,1081
"6jn7W8NuX94FWZyeGlyCaJ",24/04/20,55,32494
"5JhaDdCfVwK1YJciYM7s6i",24/04/20,29,3700
"35VpsbV6V2NdfTeNZEbKfc",24/04/20,53,20281
"32aUoW94mJ7xTJI7fG0V1G",24/04/20,64,184889
"4BxCuXFJrSWGi1KHcVqaU4",24/04/20,76,1867391
"16oZKvXb6WkQlVAjwo2Wbg",24/04/20,80,3724032
"5mFKYdmiYwNJTDtSzgFyQx",24/04/20,59,99274
"1VbWUxZTRNY2gw3qZ1tg9W",24/04/20,65,618802
"20JZFwl6HVl6yg8a4H3ZqK",24/04/20,85,9314966
"5GtMEZEeFFsuHY8ad4kOxv",24/04/20,67,1035960
"6kACVPfCOnqzgfEF5ryl0x",24/04/20,79,3907995
"7JFtD8KnbAADBBDleIMuH7",24/04/20,55,67577
"4M6Z1wubeKtwPqbjJygTOc",24/04/20,58,394646
"3LpLGlgRS1IKPPwElnpW35",24/04/20,68,1203596
"3e7awlrlDSwF3iM0WBjGMp",23/04/20,83,7330270
"26VFTg2z8YR0cCuwLzESi2",23/04/20,90,10321809
"1uNFoZAHBGtllmzznpCI3s",23/04/20,95,34445808
"7qG3b048QCHVRO5Pv1T5lw",23/04/20,79,9286300
"5YGY8feqx7naU7z4HrwZM6",23/04/20,83,11463005
"6vWDO969PvNqNYHIOW5v0m",23/04/20,88,22635529
"0EmeFodog0BfCgMzAIvKQp",23/04/20,86,18652108
"60rpJ9SgigSd16DOAG7GSa",23/04/20,75,157855
"5KNNVgR6LBIABRIomyCwKJ",23/04/20,77,595919
"2jku7tDXc6XoB6MO2hFuqg",23/04/20,88,2911185
"3DiDSECUqqY1AuBP8qtaIa",23/04/20,82,7453985
"1Xyo4u8uXC1ZmMpatF05PJ",23/04/20,98,20145445
"4O15NlyKLIASxsJ0PrXPfz",23/04/20,95,8505053
"21E3waRsmPlU7jZsS13rcj",23/04/20,80,5218309
"6zFYqv1mOsgBRQbae3JJ9e",23/04/20,79,2561746
"3Y3xIwWyq5wnNHPp5gPjOW",23/04/20,70,524761
"3Z02hBLubJxuFJfhacLSDc",23/04/20,77,1574524
"2BTZIqw0ntH9MvilQ3ewNY",23/04/20,72,1232928
"1dfeR4HaWDbWqFHLkxsg1d",23/04/20,89,25266655
"72OaDtakiy6yFqkt4TsiFt",23/04/20,72,1531157
"3PhoLpVuITZKcymswpck5b",23/04/20,84,4964927
"7xkAwz0bQTGDSbkofyQt3U",23/04/20,64,412266
"58lV9VcRSjABbAbfWS6skp",23/04/20,80,7691415
"0C8ZW7ezQVs4URX5aX7Kqx",23/04/20,89,20374289
"6L1XC7NrmgWRlwAeLJvVtA",23/04/20,71,26712
"6KImCVD70vtIoJWnq6nGn3",23/04/20,90,6899139
"06HL4z0CvFAxyc27GXpf02",23/04/20,92,28571876
"1zNqDE7qDGCsyzJwohVaoX",23/04/20,83,5725948
